case_id,family,invalid,status,accepted,high_or_blocker,finding_rule_ids,finding_severities,binding_status,binding_summary
clinical_overclaim-1,clinical_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
clinical_overclaim-2,clinical_overclaim,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-008","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
failed_fit-0,failed_fit,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013b","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（未确认成功拟合状态 (FAILED)；模型拟合状态失败 (FAILED)）。
failed_fit-1,failed_fit,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013b","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（未确认成功拟合状态 (FAILED)；模型拟合状态失败 (FAILED)）。
failed_fit-2,failed_fit,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013b","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（未确认成功拟合状态 (FAILED)；模型拟合状态失败 (FAILED)）。
false_global_null-0,false_global_null,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015c","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_global_null-1,false_global_null,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015c","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_global_null-2,false_global_null,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015c","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_negative-0,false_negative,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015b","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_negative-1,false_negative,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015b","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_negative-2,false_negative,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015b","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_significance-0,false_significance,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015a","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_significance-1,false_significance,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015a","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
false_significance-2,false_significance,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015a","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
invalid_probability-0,invalid_probability,True,BLOCKER_DETECTED,False,True,"BFA-003c,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 8863eedc...)）。"
invalid_probability-1,invalid_probability,True,BLOCKER_DETECTED,False,True,"BFA-003c,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 8863eedc...)）。"
invalid_probability-2,invalid_probability,True,BLOCKER_DETECTED,False,True,"BFA-003c,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 8863eedc...)）。"
missing_fdr-0,missing_fdr,True,BLOCKER_DETECTED,False,True,"BFA-003,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 ded8aca3...)）。"
missing_fdr-1,missing_fdr,True,BLOCKER_DETECTED,False,True,"BFA-003,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 ded8aca3...)）。"
missing_fdr-2,missing_fdr,True,BLOCKER_DETECTED,False,True,"BFA-003,BFA-001c,BFA-013a","HIGH_IMPACT,HIGH_IMPACT,BLOCKER",ISSUE_FOUND,"已核查执行记录：发现破坏或矛盾（结果表哈希不匹配 (预期 b4876ba8..., 实际 ded8aca3...)）。"
missing_receipt-0,missing_receipt,True,NEEDS_REVISION,False,True,BFA-001c,HIGH_IMPACT,MISSING_EVIDENCE,未提供经核查的供体级执行记录（统计单位、设计矩阵、拟合状态未绑定）。
missing_receipt-1,missing_receipt,True,NEEDS_REVISION,False,True,BFA-001c,HIGH_IMPACT,MISSING_EVIDENCE,未提供经核查的供体级执行记录（统计单位、设计矩阵、拟合状态未绑定）。
missing_receipt-2,missing_receipt,True,NEEDS_REVISION,False,True,BFA-001c,HIGH_IMPACT,MISSING_EVIDENCE,未提供经核查的供体级执行记录（统计单位、设计矩阵、拟合状态未绑定）。
valid_limited-0,valid_limited,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_limited-1,valid_limited,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_limited-2,valid_limited,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_negative-0,valid_negative,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_negative-1,valid_negative,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_negative-2,valid_negative,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_positive-0,valid_positive,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_positive-1,valid_positive,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_positive-2,valid_positive,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_table_presence-0,valid_table_presence,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_table_presence-1,valid_table_presence,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
valid_table_presence-2,valid_table_presence,False,ROBUST_PASS,True,False,BFA-001c,ADVISORY,ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
wrong_design-0,wrong_design,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013c","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（设计公式项与设计矩阵列不一致；设计公式与设计矩阵列冲突）。
wrong_design-1,wrong_design,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013c","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（设计公式项与设计矩阵列不一致；设计公式与设计矩阵列冲突）。
wrong_design-2,wrong_design,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013c","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（设计公式项与设计矩阵列不一致；设计公式与设计矩阵列冲突）。
wrong_direction-0,wrong_direction,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015d","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
wrong_direction-1,wrong_direction,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015d","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
wrong_direction-2,wrong_direction,True,NEEDS_REVISION,False,True,"BFA-001c,BFA-015d","ADVISORY,HIGH_IMPACT",ASSESSED,记录声明供体级成功拟合；设计公式/列名及供体数量一致，结果文件 SHA-256 匹配。旧版收据未重复列出 donor_ids；供体标识来自与 sample_metadata_sha256 完全匹配的原始样本表文件。此为输入一致性核查，不证明真实模型执行、生产者身份或科学有效性。
wrong_result_hash-0,wrong_result_hash,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（结果表哈希全为零或无效）。
wrong_result_hash-1,wrong_result_hash,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（结果表哈希全为零或无效）。
wrong_result_hash-2,wrong_result_hash,True,BLOCKER_DETECTED,False,True,"BFA-001c,BFA-013a","HIGH_IMPACT,BLOCKER",ISSUE_FOUND,已核查执行记录：发现破坏或矛盾（结果表哈希全为零或无效）。
